name,cre_id,location/x,location/y,_place_id
"PETROMAX, S.A. DE C.V.",PL/451/EXP/ES/2015,-100.2104,25.73217,2100
"CRUCERO LAS GOLONDRINAS,SA DE CV",PL/892/EXP/ES/2015,-103.7721,19.14014,2101
Becktrop Operadora SA de CV,PL/707/EXP/ES/2015,-116.953,32.49127,2102
"PETROMAX, S.A. DE C.V.",PL/594/EXP/ES/2015,-100.1302,25.70155,2103
"ESTACION RAEL, S. DE R.L. DE C.V.",PL/660/EXP/ES/2015,-116.9663,32.51104,2104
"GRUPO OCTANO, S.A. DE C.V.",PL/365/EXP/ES/2015,-105.2828,21.54249,2105
ESTACION DE SERVICIO AUTOMOTRIZ DEL NORTE SA DE CV,PL/845/EXP/ES/2015,-102.2924,21.91625,2106
"SERVICIO CIBOLA, S.A. DE C.V.",PL/685/EXP/ES/2015,-100.9351,29.30929,2107
"PETROMAX, S.A. DE C.V.",PL/577/EXP/ES/2015,-103.3228,25.53419,2108
MULTISERVICIOS SIGAS S.A. DE C.V.,PL/655/EXP/ES/2015,-102.4106,22.14957,2109
"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PL/374/EXP/ES/2015,-109.0138,25.73669,2110
"PETROMAX, S.A. DE C.V.",PL/592/EXP/ES/2015,-98.38633,26.04917,2111
"Servicio Vega Atizapan, S.A. de C.V.",PL/879/EXP/ES/2015,-99.25086,19.55827,2112
"ESTACION RAEL, S. DE R.L. DE C.V.",PL/686/EXP/ES/2015,-116.977,32.50455,2113
"PETROMAX, S.A. DE C.V.",PL/571/EXP/ES/2015,-100.1915,25.72328,2114
"ESTACION RAMOS, S.A. DE C.V.",PL/812/EXP/ES/2015,-100.941,25.52635,2115
"PETROMAX, S.A. DE C.V.",PL/477/EXP/ES/2015,-97.53786,25.85833,2116
"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V.",PL/841/EXP/ES/2015,-101.6691,21.12003,2117
"GRUPO OCTANO, S.A. DE C.V.",PL/497/EXP/ES/2015,-100.7924,19.90187,2118
"PETROMAX, S.A. DE C.V.",PL/517/EXP/ES/2015,-100.1696,25.64484,2119
"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",PL/833/EXP/ES/2015,-110.93,31.27435,2120
"PETROMAX, S.A. DE C.V.",PL/427/EXP/ES/2015,-100.3682,25.67366,2121
"PETROMAX, S.A. DE C.V.",PL/492/EXP/ES/2015,-100.1685,25.71746,2122
SERVICIO DEL CENTRO HIDALGO SA DE CV,PL/774/EXP/ES/2015,-101.4349,20.94723,2123
"SERV.EL TRIANGULO DEL REFUGIO,S.DER.L.DEC.V.",PL/639/EXP/ES/2015,-117.0602,32.53289,2124
AMC COMBUSTIBLES Y LUBRICANTES S.A. DE C.V.,PL/779/EXP/ES/2015,-101.4206,26.91485,2125
"SERVICIO RAMA, S.A. DE C.V.",PL/796/EXP/ES/2015,-100.5448,28.70405,2126
"PETROMAX, S.A. DE C.V.",PL/448/EXP/ES/2015,-100.2944,25.81873,2127
Servicio Ravello S.A de C.V.,PL/792/EXP/ES/2015,-116.917,32.49886,2128
"ESTACION RAEL, S. DE R.L. DE C.V.",PL/849/EXP/ES/2015,-115.3992,32.63718,2129
"PETROMAX, S.A. DE C.V.",PL/490/EXP/ES/2015,-106.0694,28.65146,2130
"INMOBILIARIA ANADECA, S.A. DE C.V.",PL/680/EXP/ES/2015,-117.1202,32.51353,2131
"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PL/413/EXP/ES/2015,-109.0028,25.81053,2132
MARA ESTACION DE SERVICIOS SA DE CV,PL/766/EXP/ES/2015,-102.2631,21.89202,2133
"GRUPO OCTANO, S.A. DE C.V.",PL/617/EXP/ES/2015,-104.8968,21.49442,2134
SERVICIO OROZCO SA DE CV,PL/713/EXP/ES/2015,-99.12276,23.82137,2135
Servicio Puerta de Hierro S.A. de C.V.,PL/770/EXP/ES/2015,-103.7087,19.25796,2136
"Gasolinería Real Madeira, S.A. de C.V.",PL/835/EXP/ES/2015,-99.02091,19.57863,2137
