,index,name,cre_id,Lng,Lat,place_id,gas_price,gas type,Rating,User Ratings,Google_Name,Address,Types
2491,6612,Gasolinera Complejo S.A. de C.V.,PL/5917/EXP/ES/2015,-103.6894,19.254379999999998,4665,18.19,regular,4,112,Gasolinera Pemex,Ejercito Mexicano Num.1075 Hospital General Y Complejo Admvo,"gas_station, point_of_interest, establishment"
2492,6615,"ESTACIONES ECOLOGICAS DE SERVICIOS, S.A. DE C.V.",PL/5449/EXP/ES/2015,-99.07385,19.53218,4666,18.99,regular,3.7,91,Estaciones Ecológicas de Servicios,"vía Morelos esq. Cuahutemoc 597, Santa Clara Coatitla, Ecatepec de Morelos","gas_station, point_of_interest, establishment"
2493,6618,AUTOSERVICIO MANZANILLO PUERTO SA DE CV,PL/6006/EXP/ES/2015,-104.3011,19.09229,4667,18.65,diesel,0,0,Shell,"Av Elías Zamora, Valle de Las Garzas, II, Manzanillo","gas_station, atm, convenience_store, finance, food, point_of_interest, store, establishment"
2494,6621,JOSAFAT RAFAEL MORALES PEREZ,PL/5730/EXP/ES/2015,-98.76064000000001,20.58844,4668,18.4,regular,5,1,Gasolinera Pemex,"Calzada A San Juan Numero 7 Lote 01, Centro, Metztitlán","gas_station, point_of_interest, establishment"
2495,6624,"OPERADORA RIO COLORADO, S. DE R.L. DE C.V.",PL/5182/EXP/ES/2015,-114.8008,32.46228,4669,14.49,regular,3.9,83,Gasolinera,"Calz Monterrey, Ruiz Cortines, San Luis Río Colorado","gas_station, point_of_interest, establishment"
2496,6626,PETRORAC S.A. DE C.V.,PL/5712/EXP/ES/2015,-97.16895,18.8125,4670,18.39,regular,4,3,bp,"Av. Benito Juárez 401, Vista Hermosa, Nogales","gas_station, point_of_interest, establishment"
2497,6629,"SERVICIO MANTEROLA, SA DE CV",PL/5460/EXP/ES/2015,-97.0498,20.06476,4671,19.53,regular,3.9,11,Servicio Manterola S.A. de C.V.,"Av. Máximino Ávila Camacho 701, Centro, Martínez de la Torre","gas_station, point_of_interest, establishment"
2498,6632,CENTRO DE SERVICIOS ELVA SA DE CV,PL/5615/EXP/ES/2015,-112.1544,30.711759999999998,4672,18.2,regular,3.6,10,Centro De Servicio Elva,"Av. Álvaro Obregón SN, Centro, Caborca","gas_station, point_of_interest, establishment"
2499,6634,JOSE MANUEL ZABALEGUI RODRIGUEZ,PL/6023/EXP/ES/2015,-101.2277,19.65894,4673,17.64,regular,3.8,47,Pemex,"Fraccionamiento Real San Diego, Morelia","gas_station, point_of_interest, establishment"
2500,6637,SERVICIO EL GALLO SA DE CV,PL/6149/EXP/ES/2015,-110.9576,29.03802,4674,16.2,regular,3.9,90,Servicio El Gallo S.A. de C.V.,"Blvd. Agustín de Vildósola SN, Y Griega, Hermosillo","gas_station, point_of_interest, establishment"
2501,6640,ESTACION DE SERVICIO VALLE NUEVO SA DE CV,PL/6174/EXP/ES/2015,-103.8775,18.90648,4675,18.12,regular,0,0,Pemex,"Calle El Real Esquina Con, Calle Canal de Amela S/N, San Francisco Javier, Tecomán","gas_station, point_of_interest, establishment"
2502,6643,ESTACION DE SERVICIO ARIES S.A DE C.V,PL/5695/EXP/ES/2015,-96.08617,18.985889999999998,4676,17.45,regular,4,43,Estación de Servicio Aries s.a de c.v.,"Carretera Federal Álvarado-Paso Del Toro km 7.2, La Laguna Estacion, Medellín de Bravo","gas_station, point_of_interest, establishment"
2503,6646,ALMA DELIA MILLAN LOPEZ,PL/5636/EXP/ES/2015,-111.0235,29.1071,4677,20.76,premium,0,0,Phillips 66,"Boulevard Antonio Quiroga #86, El Llanito, Hermosillo","gas_station, point_of_interest, establishment"
2504,6648,"SUPER S RAPÍDITOS BIP BIP, S.A. DE C.V.",PL/5141/EXP/ES/2015,-106.45299999999999,31.71107,4678,12.47,regular,0,0,Gasolinera Oxxo,"Camino Viejo a S. José 3601, Reforma, Cd Juárez","gas_station, point_of_interest, establishment"
2505,6650,ENERGETICOS PLUS SA DE CV,PL/5690/EXP/ES/2015,-103.3187,20.656660000000002,4679,17.89,regular,4.1,632,BP,"Av. Revolución, Magaña, Guadalajara","gas_station, convenience_store, cafe, food, point_of_interest, store, establishment"
2506,6652,"GRUPO RESIDENCIAL LINARES, S. A. DE C. V.",PL/5414/EXP/ES/2015,-99.58575,24.881,4680,17.99,regular,4,142,Pemex,"Industria Textil S/N,Parque Industrial, Linares","gas_station, point_of_interest, establishment"
2507,6655,Super Gas San Luis Rioverde S.A. DE C.V.,PL/5318/EXP/ES/2015,-100.8944,22.15225,4681,17.75,regular,0,0,Gasolinera Pemex,"Carretera Federal No. 70 Tramo Slp-Rioverde Km 6 Quintas, De La Hacienda, 3A Seccion, Soledad de Graciano Sánchez","gas_station, point_of_interest, establishment"
2508,6657,"SERVICIO TESISTAN, S.A. DE C.V.",PL/5408/EXP/ES/2015,-103.4868,20.79965,4682,18.79,regular,3.4,45,Gasolinera Pemex,"Av. Juan Manuel Ruvalcaba No. 21, Pob. De Tesistan, Zapopan","gas_station, point_of_interest, establishment"
2509,6660,servicio nadadores s.a. de c.v.,PL/5694/EXP/ES/2015,-94.32255,18.07465,4683,18.14,regular,4.2,11,Pemex,Teapa,"gas_station, point_of_interest, establishment"
2510,6663,SERVICIO ARENA DE SAN ANDRES SA DE CV,PL/5814/EXP/ES/2015,-99.0825,19.55919,4684,18.79,regular,3.7,124,Servicio Arena de San Andrés S.A. de C.V.,"Av Camino a San Andrés, Los Bordos, Ecatepec de Morelos","gas_station, point_of_interest, establishment"
2511,6666,Servicio Garal S de RL de CV,PL/5673/EXP/ES/2015,-112.1682,30.7162,4685,18.49,regular,1,1,Pemex,"10 y o Lamberto Hernández # 280, Centro, Caborca","gas_station, point_of_interest, establishment"
2512,6669,ADMINISTRADORA DEL COLORADO S. DE R.L. DE C.V.,PL/5697/EXP/ES/2015,-115.3931,32.63831,4686,18.99,diesel,4.1,41,BP,"Calzada Independencia Frac, MonteCarlo Residencial, 3A Etapa, Mexicali","gas_station, atm, finance, cafe, food, point_of_interest, establishment"
2513,6672,SERVICIO SAYULA S.A. DE C.V.,PL/5274/EXP/ES/2015,-94.95727,17.88672,4687,17.29,regular,3.8,242,Pemex,"Calle Miguel Hidalgo, Petroleo, Sayula de Alemán","gas_station, point_of_interest, establishment"
2514,6675,SERVICIO SANJOGAS SA DE CV,PL/5489/EXP/ES/2015,-100.4062,20.98545,4688,17.05,regular,0,0,Gasolinera Pemex,"90 Margen Derecho, Carr. Constitución Km 2, San José Iturbide","gas_station, point_of_interest, establishment"
2515,6678,"DISTRIBUIDORA DE COMBUSTIBLES KARZO, S. DE R.L. DE C.V.",PL/6169/EXP/ES/2015,-97.54191,25.86276,4689,15.35,regular,0,0,Pemex,"Calle Av. Constituyentes Num.213, La Unión, Heroica Matamoros","gas_station, point_of_interest, establishment"
2516,6681,RED NACIONAL DE COMBUSTIBLES Y SERVICIOS SA DE CV,PL/6122/EXP/ES/2015,-103.3742,20.68168,4690,18.98,regular,3.9,10,Grupo IDEA - Progreso,"Av. de las Américas 251, Ladrón de Guevara, Ladron De Guevara, Guadalajara","gas_station, point_of_interest, establishment"
2517,6683,EXACTO COMBUSTIBLES SA DE CV,PL/5830/EXP/ES/2015,-107.4213,24.741039999999998,4691,17.15,regular,4,80,The gas station Costerita,"Geovanny Zamudio Esq. Libramiento Benito Juarez, El Ranchito","gas_station, point_of_interest, establishment"
2518,6686,SINERGIA DE ENERGETICOS S.A. DE C.V.,PL/5785/EXP/ES/2015,-98.21905,18.97413,4692,18.04,regular,4.2,38,Gasolinera Pemex,"Prol. de la 14 Sur No. 11517, San José Chapulco, Puebla","gas_station, point_of_interest, establishment"
2519,6688,SUPER SERVICIO DLT SA DE CV,PL/5682/EXP/ES/2015,-99.25896999999999,19.575860000000002,4693,18.27,regular,4,364,BP,"Carr. Atizapán Villa Nicolás Romero Km. 9.2, Mexico Nuevo, Cd López Mateos","gas_station, atm, finance, cafe, food, point_of_interest, establishment"
2520,6691,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",PL/5990/EXP/ES/2015,-99.93176,25.22092,4694,19.34,regular,3.9,35,Pemex,Congregación Calles,"gas_station, point_of_interest, establishment"
2521,6694,ENERGETICOS SANTA ISABEL S.A. DE C.V.,PL/5387/EXP/ES/2015,-98.30038,19.23837,4695,18.8,diesel,3.8,24,Gasolinera Pemex,"16 de Sept # 23, Atenco, Tetlatlahuca","gas_station, point_of_interest, establishment"
2522,6697,"OPERADORA TABASQUEÑA EDMAGRA, S.A. DE C.V.",PL/6001/EXP/ES/2015,-93.01228,17.982229999999998,4696,17.9,regular,3.9,138,Gasolinera Pemex,"Carretera Vhsa-Cardenas Km. 8, Villahermosa","gas_station, point_of_interest, establishment"
2523,6700,GRUPO CARAROD S. DE R.L.,PL/5993/EXP/ES/2015,-100.0532,19.04648,4697,18.99,regular,3.9,50,Gasolinera Pemex,"Santiago, Temascaltepec de González","gas_station, point_of_interest, establishment"
2524,6703,"SERVICIO SAN PEDRO, S.A. DE C.V.",PL/5457/EXP/ES/2015,-101.3683,20.6764,4698,18.5,regular,3.8,20,Gasolinera Pemex,"1591, Bl Lazaro Cardenas No, Prolongacion Moderna, Irapuato","gas_station, point_of_interest, establishment"
2525,6705,"SERVICIO LA BARDA BLANCA, SA DE CV",PL/5745/EXP/ES/2015,-97.01196999999999,20.118679999999998,4699,19.51,regular,4.3,8,Pemex,Nautla - Martinez de la Torre 50,"gas_station, point_of_interest, establishment"
2526,6708,ELIAS ALFARO BARRERA,PL/5646/EXP/ES/2015,-100.8002,19.89034,4700,18.98,regular,3.9,36,PEMEX-6297,México 120,"gas_station, point_of_interest, establishment"
2527,6711,GASOLINERA LAGUNA DE ALCHICHICA S.A. DE C.V.,PL/5965/EXP/ES/2015,-97.39622,19.40764,4701,18.9,regular,3.7,3,PeMex,"Carr.Mexico-Veracruz Km.252, Tepeyahualco","gas_station, point_of_interest, establishment"
2528,6714,gasolinas y lubricantes de la sierra s.a de c.v.,PL/5977/EXP/ES/2015,-92.71597,15.879539999999999,4702,19.07,regular,3.5,2,Pemex,"Km 0+800 de la Carrt, Independencia, Ángel A. Corzo","gas_station, point_of_interest, establishment"
2529,6717,SERVICIO GASOLINERO DE LA COSTA S.A. DE C.V.,PL/5963/EXP/ES/2015,-105.2724,21.77196,4703,19.3,regular,0,0,Gasolinera Pemex,Carretera Santiago Los Corchos Km 16.42 No. 179,"gas_station, point_of_interest, establishment"
2530,6720,SUPER SERVICIO CUATRO CAMINOS SA DE CV,PL/6125/EXP/ES/2015,-106.4529,31.607670000000002,4704,12.17,regular,4,315,"Superservicio Cuatro Caminos, S. A. de C. V.","Blvd. Oscar Flores, km 20, Cd Juárez","gas_station, point_of_interest, establishment"
2531,6723,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",PL/5400/EXP/ES/2015,-99.23764,19.49989,4705,19.09,regular,4.3,2014,bp,"Perif. Blvd. Manuel Ávila Camacho, Cd. Satélite, Naucalpan de Juárez","gas_station, convenience_store, cafe, food, point_of_interest, store, establishment"
2532,6725,TRINIDAD ADAME ADAME,PL/5339/EXP/ES/2015,-99.52999,17.651410000000002,4706,20.25,regular,3.4,89,Gasolineria Zumpango,"20 de Noviembre 2, San Francisco, Zumpango del Río","gas_station, point_of_interest, establishment"
