,index,name,cre_id,Lng,Lat,place_id,gas_price,gas type,Rating,User Ratings,Google_Name,Address,Types
9750,25798,"LA CASA DEL SOL GASOLINERIA, S.A DE C.V.",PL/10810/EXP/ES/2015,-97.50146,19.50703,13013,17.99,regular,3.8,491,La Casa Del Sol Gasolinera SA de CV,"Av 31 Pte 521, Insurgentes Chula Vista, Puebla","gas_station, point_of_interest, establishment"
9751,25801,SERVICIOS PUERTA VIEJA SA DE CV,PL/10811/EXP/ES/2015,-102.7823,20.790370000000003,13015,19.39,regular,0,0,Gasolinera Pemex,"Av. de las Jacarandas No. 1632, San Antonio El Alto","gas_station, point_of_interest, establishment"
9752,25804,ESTACION DE SERVICIO ATEQUIZA S.A. DE C.V.,PL/10812/EXP/ES/2015,-103.3743,20.65371,13016,18.79,regular,0,0,Gasolinera efectigas,"Calz. Lázaro Cárdenas 2037, Del Sur, Guadalajara","gas_station, point_of_interest, establishment"
9753,25806,servicio ibarra hermanos s.a. de c.v.,PL/10813/EXP/ES/2015,-114.0482,27.96782,13017,19.26,regular,4.3,12,Pemex,"Sergio Noyola N., Carr. Transpeninsular, Heroica Mulegé","gas_station, point_of_interest, establishment"
9754,25809,RAMON RUIZ ARREOLA,PL/10814/EXP/ES/2015,-110.0858,27.555059999999997,13018,20.35,regular,4.2,10,Pemex,"Jesús García No. 88, La Loma de Bácum","gas_station, point_of_interest, establishment"
9755,25812,SERVICIO URIMA S.A. DE C.V.,PL/10815/EXP/ES/2015,-112.2639,27.33507,13020,19.11,regular,3,2,Pemex,Carretera Transpeninsular Frente Muelle Sur,"gas_station, point_of_interest, establishment"
9756,25815,"SERVICIO CAMECUARO, S.A. DE C.V.",PL/10816/EXP/ES/2015,-102.2024,19.89677,13023,19.08,regular,3.9,81,Gasolinera,"México 15, Sta Anita, Tangancícuaro de Arista","gas_station, point_of_interest, establishment"
9757,25818,SERVICIO EXPRESS DE MORELIA S.A. DE C.V.,PL/10817/EXP/ES/2015,-101.2299,19.67758,13024,17.49,regular,4.1,110,Gasolinera repsol,"Unnamed Road, Morelia","gas_station, point_of_interest, establishment"
9758,25821,ANTELIA QUIROGA MASCORRO,PL/10818/EXP/ES/2015,-97.86742,25.66705,13025,17.15,regular,0,0,Gasolinera Pemex,"Valle Hermoso, Brecha 114 Km. 81.875, Pob, El Realito","gas_station, point_of_interest, establishment"
9759,25824,ENERGETICOS RODRIGUEZ SA DE CV,PL/10819/EXP/ES/2015,-97.81623,25.65157,13027,17.15,regular,0,0,Pemex,"Carretera las Yescas Km. 83.675 No. 2503-A, Valle Hermoso","gas_station, point_of_interest, establishment"
